publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
CN-121483133-A,CN,A,98623587,CN-202511889615-A,20260206,20251215,Gradient utilization battery detection rack and method for teaching in professional universities,"The application relates to the technical field of battery teaching equipment, and discloses a gradient utilization battery detection rack and a method for teaching in professional institutions, wherein the gradient utilization battery detection rack comprises a semi-closed cabin body, a cabin door is arranged on the cabin body, and a transparent observation window is arranged on the cabin door; the intelligent control system is characterized in that an exhaust fan and a smoke sensor are arranged on the inner side of a cabin body, a battery cassette assembly is arranged in the cabin body, the battery cassette assembly is adaptive to various battery core types and is provided with a 12-pin foolproof plug, a central monitoring unit and a fault simulation module are arranged in the cabin body, the central monitoring unit is used for collecting battery voltage, current, temperature and cabin body smoke concentration parameters in real time, the fault simulation module is used for injecting various controllable faults, and a plurality of external test interfaces are arranged on the lower portion of a cabin door. The application not only gives consideration to the industrial-grade test function and the safety guarantee, but also has the openness, interactivity and fault simulation function required by teaching, and the cost is controlled within 20-30% of industrial-grade equipment, thereby improving the teaching efficiency and quality.",,,G09B9/00 | G09B23/187 | Y02E60/10,G09B9/00 | G09B23/18,general,3,勾配利用電池教習ラック。fault simulation moduleで様々な制御可能故障を注入(電池教育分野)
CN-121483120-A,CN,A,98609287,CN-202511912277-A,20260206,20251217,Electrical simulation training system for medium-sized high-speed motor vehicle,"The invention relates to the technical field of vehicle simulation training, and provides an electric simulation training system of a medium-sized high-speed motor vehicle, which comprises an electric loop simulation module, a fault injection and diagnosis module, a data acquisition and analysis module, a virtual-real interaction control module and a safety protection module, wherein the electric loop simulation module comprises a power supply simulation unit, a load simulation unit and a line impedance simulation unit, the output voltage of the power supply simulation unit is regulated within the regulation range of 12V-28V, the voltage ripple is less than or equal to 50mV, and the load simulation unit supports 0.5A-20A adjustable constant current load output. The electric loop simulation module is used for accurately reproducing various electric working conditions of the vehicle, the fault injection module can simulate various common and complex faults such as short circuit, poor contact and the like, the constructed virtual model and the force feedback operator are combined to realize immersive operation of virtual-real fusion, and meanwhile, the data acquisition and analysis module is used for capturing parameter changes and predicting trends in real time, so that a power assisting practical training person can quickly master fault diagnosis and parameter adjustment skills.",,,G09B9/00,G09B9/00,general,3,中型高速自動車の電気シミュレーション訓練システム。fault injection and diagnosis moduleで様々な故障をシミュレート(自動車電気分野)
CN-121480393-A,CN,A,98625875,CN-202610023979-A,20260206,20260109,Method for predicting multi-component spatial distribution in transformer,"The invention discloses a multi-component spatial distribution prediction method in a transformer, which relates to the technical field of monitoring of the running state of power equipment, and comprises the steps of firstly constructing a multi-gas component transportation physical simulation model of transformer oil based on fluid simulation software, and configuring an observation system mapped with the position of an actual sensor; the method comprises the steps of constructing a time sequence error matrix of actual observation and simulation prediction, dividing the time sequence error matrix into a training set and a verification set, generating a dynamic B matrix by utilizing an LSTM network on the basis, fusing simulation data with real-time sensor observation data through an EnKF algorithm to realize dynamic updating and error correction of a simulation model, assisting an adaptive step length regulation and abnormality processing mechanism in a data assimilation process, and finally dynamically displaying the spatial distribution of each gas component in an oil tank in various forms. The invention effectively solves the problems of space limitation, static simulation prediction error accumulation and the like of the traditional monitoring, and realizes accurate and dynamic prediction of the spatial distribution of multiple gas components in the transformer.",,,G06F2119/14 | G06F2113/08 | G06F2111/04 | G06N3/08 | G06N3/0442 | G06F30/27 | G06F30/28 | G01D21/02 | G01N33/0004,G06N3/08 | G06N3/0442 | G06F119/14 | G06F113/08 | G06F111/04 | G06F30/27 | G01N33/00 | G01D21/02 | G06F30/28,general,2,変圧器内多成分分布予測(重複、A版)
CN-120949610-B,CN,B,97622596,CN-202511461606-A,20260206,20251014,Heterogeneous interconnection multi-core distributed simulation experiment system and cooperative control method,"The invention relates to the technical field of simulation, and particularly discloses a heterogeneous interconnection multi-core distributed simulation experiment system and a cooperative control method, wherein the system comprises a semi-physical simulation system and a virtual system; the semi-physical simulation system comprises a plurality of semi-physical simulation nodes, a plurality of multi-core parallel simulation nodes, a digital simulation system, an experimental environment model, a virtual-real combined simulation experiment platform and a dynamic deduction visual simulation engine, wherein each semi-physical simulation node can simulate a semi-physical simulation entity, each multi-core parallel simulation node can simulate a plurality of parallel semi-physical simulation entities, the virtual system comprises the digital simulation system, the digital simulation system can simulate a plurality of parallel digital simulation entities, the experimental environment model is used for simulating generation of experimental environment modeling data, the virtual-real combined simulation experiment platform is used for deduction and rendering of a working scene, and the dynamic deduction visual simulation engine is used for rendering environment information by using the experimental environment modeling data. The system has the capability of multi-core simulation, and can further improve the upper limit of the access of the semi-physical simulation model to the semi-physical system, so that the semi-physical system can perform cluster simulation.",,,G05B17/02,G05B17/02,general,1,異種相互接続マルチコア分散シミュレーションシステム。シミュレーション基盤アーキテクチャ
CN-121476946-A,CN,A,98625349,CN-202511335489-A,20260206,20250918,Multi-mode coupling lithium battery thermal runaway multi-stage early warning method and system,"The invention provides a multi-mode coupling multi-stage early warning method and a multi-stage early warning system for thermal runaway of a lithium battery, which belong to the technical field of lithium battery safety monitoring, wherein the method comprises the following steps of S1, collecting a large number of historical multi-mode monitoring data in the operation process of the lithium battery to construct a data set; the method comprises the steps of S2, creating a thermal runaway monitoring model based on a time-frequency characteristic extraction module, a characteristic fusion module, a reconstruction decoding module, a physical simulation module, a multi-source information fusion module and a report output module, training and deploying the thermal runaway monitoring model through a data set, S3, collecting the thermal runaway monitoring model deployed by real-time multi-mode monitoring data input of the lithium battery, obtaining a monitoring report carrying a temperature average value, a temperature standard deviation, a voltage average value and a voltage standard deviation, and S4, carrying out thermal runaway early warning on the lithium battery based on the monitoring report. The method has the advantages that the accuracy, the working condition adaptability and the reliability of the thermal runaway early warning of the lithium battery are greatly improved.",,,G01R31/392 | G01R31/378 | G01R31/396 | G01R31/367 | G06F30/20 | G06N3/045 | G06F18/214 | G06F18/253 | G06F18/213 | G06F18/10 | G06F18/256 | Y02E60/10,G06N3/045 | G06F30/20 | G06F18/25 | G06F18/214 | G06F18/213 | G06F18/10 | G01R31/396 | G01R31/392 | G01R31/378 | G01R31/367,general,2,リチウム電池熱暴走多段階早期警報。物理シミュレーションモジュールを含むハザード早期警報(電池安全分野)
CN-121479102-A,CN,A,98628620,CN-202511630195-A,20260206,20251109,Underwater two-dimensional sound field calculation method based on Fourier feature embedding PINN,"The application discloses an underwater two-dimensional sound field calculation method based on Fourier feature embedding PINN, which relates to the technical field of sound field calculation and comprises the steps of encoding into a partial differential equation physical loss function, constructing PINNs, determining corresponding sound source conditions, sea surface boundary conditions and seabed boundary conditions, encoding into boundary condition physical loss functions, constructing a data auxiliary loss function according to observed data of a calculation area, preliminarily selecting different sigma parameters to modify frequencies corresponding to Fourier bases, pre-training the preliminarily selected different sigma parameters PINNs in a set step length, calculating point-by-point average errors according to sound pressure output by PINNs after training is finished, searching optimal sigma parameters, performing two-stage training according to the optimal sigma parameters, and calculating sound propagation loss prediction results according to sound pressure real parts and imaginary parts output by PINNs. The application can enable the network to learn the high-frequency component, thereby forecasting the multi-scale marine sound propagation phenomenon.",,,G06N3/08 | G06N3/042 | G06F30/27 | G06F17/13,G06N3/08 | G06N3/042 | G06F30/27 | G06F17/13,general,1,水中音場PINN、境界条件。物理+ML音響計算手法
CN-119397958-B,CN,B,94430479,CN-202411602864-A,20260206,20241111,Numerical simulation method and system for two-phase flow heat transfer,"The application relates to a numerical simulation method and a numerical simulation system for two-phase flow heat transfer, wherein the method comprises the following steps of S01, setting physical parameters, grid parameters and calculation parameters of simulation contents according to the simulation contents, initializing grids, S02, initializing a two-phase parameter field, a speed field and a temperature field, giving boundary conditions, S03, calculating time evolution conditions of the two-phase parameter field, the speed field and the pressure field by using a two-phase flow model, S04, calculating and obtaining the time evolution conditions of the temperature field by using a convection diffusion equation based on the time evolution conditions of the obtained speed field, and S05, combining the time evolution conditions of the obtained two-phase parameter field, the speed field, the pressure field and the temperature field, and outputting required simulation data. According to the application, on the basis of the self-adaptive grid, the temperature field is used as a passive scalar to be added into the flow field, so that the application range of the numerical simulation method, the reliability of the simulation result and the convenience of analyzing the problem are improved.",,,Y02T90/00 | G06F2119/14 | G06F2119/08 | G06F2113/08 | G06F2111/10 | G06F18/2135 | G06F30/27 | G06F30/28,G06F119/14 | G06F119/08 | G06F113/08 | G06F111/10 | G06F30/27 | G06F18/2135 | G06F30/28,general,1,二相流伝熱数値シミュレーション、境界条件。物理シミュレーション手法
US-2026037696-A1,US,A1,92424334,US-202418806630-A,20260205,20240801,Acoustic device simulation system with digital twin acoustic robot and simulation method thereof,"An acoustic device simulation system with digital twin acoustic robot comprising: a computing device and a simulation program which can be executed by the computing device to cause the computing device to perform operations comprising the following steps: receiving data from a physical system to create an acoustic computer-assisted engineering model; importing data from the operation of the physical system into the acoustic computer-assisted engineering model, and generating a digital twin virtual three-dimensional model; running a physical simulation through the digital twin virtual three-dimensional model; and modifying or replacing the simulation conditions of the digital twin virtual three-dimensional model in order to obtain simulation results under different conditions.",CHENG UEI PREC IND CO LTD,LEE JAMES CHENG | WU KUO-YANG | CHUNG HSIANG-LING | YANG YI-LIN | LIN HENG-CHUAN | WANG YI-SIANG,G06F30/27 | G06F2111/04 | G06F30/27 | G05B17/02 | G09B23/14 | G06F30/20 | G06F30/17 | G06F30/27 | G06F30/27,G06F30/27,general,2,音響デバイスデジタルツインシミュレーション。異なる条件下でシミュレーション条件を変更し結果取得
WO-2026026427-A1,WO,A1,93264378,CN-2025105761-W,20260205,20240730,Simulation method for flow field distribution and deposition morphology in ultrafast laser-assisted electrochemical deposition,"The present invention relates to the technical field of electrodeposition, and relates to a simulation method for flow field distribution and deposition morphology in ultrafast laser-assisted electrochemical deposition. The steps of the method comprise: constructing, in multiphysics simulation software, a two-dimensional axisymmetric multiphysics coupled field model for heat transfer, solid and fluid heat transfer, tertiary current distribution, and laminar flow; constructing a geometric model of a deposition cell and a substrate, and setting laser properties, material physical parameters, and electrodeposition properties in the multiphysics simulation software; constructing an ultrafast laser heat transfer model on the basis of a two-temperature equation; setting initial and boundary conditions of the ultrafast laser heat transfer model, and constructing an electrodeposition field; coupling the ultrafast laser heat transfer model with the electrodeposition field to construct an ultrafast laser-assisted electrochemical deposition model; delineating a grid; and performing calculation and analysis. In the present invention, ultrafast laser is incorporated to perform multiphysics coupling of a thermal field, a flow field, an electric field, etc., and a two-temperature equation and tertiary current distribution are incorporated to the model, thereby achieving the accuracy and comprehensiveness of prediction models.",UNIV NORTHWESTERN POLYTECHNICAL,YU JUN | TIAN LIJUN | ZHANG ZILONG | LIN XIN | WANG JUNJIE | CHEN HUI | HUANG WEIDONG,G06F2113/08 | G06F2119/14 | G06F2119/08 | G06F30/23 | G06F30/28 | G06F30/20,G06F30/20,general,1,超高速レーザー支援電気化学堆積のマルチフィジックスシミュレーション、境界条件。製造プロセス解析
EP-4687061-A1,EP,A1,92424334,EP-24194636-A,20260204,20240801,Acoustic device simulation system with digital twin acoustic robot and simulation method thereof,"A acoustic device simulation system with digital twin acoustic robot comprising: a computing device and a simulation program which can be executed by the computing device to cause the computing device to perform operations comprising the following steps: receiving data from a physical system to create an acoustic computer-assisted engineering model; importing data from the operation of the physical system into the acoustic computer-assisted engineering model, and generating a digital twin virtual three-dimensional model; running a physical simulation through the digital twin virtual three-dimensional model; and modifying or replacing the simulation conditions of the digital twin virtual three-dimensional model in order to obtain simulation results under different conditions.",CHENG UEI PREC IND CO LTD,LEE JAMES CHENG | WU KUO-YANG | CHUNG HSIANG-LING | YANG YI-LIN | LIN HENG-CHUAN | WANG YI-SIANG,G06F2111/04 | G06F30/27 | G05B17/02 | G09B23/14 | G06F30/27 | G06F30/20 | G06F30/17 | G06F30/27,G06F30/27 | G06F30/17,general,2,音響デバイスデジタルツインシミュレーション(重複、EP版)
CN-121453401-A,CN,A,98584804,CN-202511829859-A,20260203,20251205,Engine fault simulation system and method based on virtual rack,"The application relates to the field of engine fault simulation, in particular to an engine fault simulation system and method based on a virtual rack, wherein the system comprises a VTB virtual rack which is respectively in communication connection with a control upper computer, an ECU and real hardware; the VTB virtual bench comprises a real-time simulation machine for running an engine model, a multifunctional digital template card module for carrying out signal conversion between the real-time simulation machine and an ECU, a wire harness connection fault test box connected between the multifunctional digital template card module and the ECU, a signal generating device connected to the wire harness connection fault test box and used for injecting hardware fault signals into the ECU through the wire harness connection fault test box, and user driving data collected by a remote mobile terminal and used for configuring the model initial state of the real-time simulation machine and/or generating test working conditions by controlling an upper computer. And the high cost and the hardware damage risk brought by the dependence of the physical bench on the entity prototype and the destructive test are avoided.",,,G05B17/02 | G01M15/02,G05B17/02 | G01M15/02,general,4,仮想リグベースのエンジン故障シミュレーション。ワイヤーハーネス経由でECUにハードウェア故障信号を注入。fault injectionに強く合致(自動車分野)
CN-121457083-A,CN,A,98587409,CN-202511510685-A,20260203,20251022,Method for analyzing defects of vertical interconnection structure and computer equipment,"A method for analyzing defects of vertical interconnection structure includes setting up defect-free model of vertical interconnection structure and defect-containing model containing void defects, setting up electric, thermal and mechanical boundary conditions of model, setting up virtual buffer layer with high thermal conductivity and used only for heat conduction on top surface of substrate, applying generalized heat source on said buffer layer, setting up coupling relation between electric, thermal and mechanical multiple physical fields and executing multiple physical field coupling solution, carrying out third-order analysis by comparing global key index of defect-containing model and defect-free model, analyzing physical quantity distribution on key interface between metal filler of vertical interconnection structure and substrate and analyzing physical quantity distribution on longitudinal section line passing through defect center. The invention can realize comprehensive, quantitative and multi-scale evaluation of the influence of the micro-nano cavity defect in the vertical interconnection structure under the electric-thermal-force coupling field.",,,G06F2119/14 | G06F2119/08 | G06F2111/04 | G06T17/00 | G06F30/10 | G06F30/20,G06T17/00 | G06F119/14 | G06F119/08 | G06F111/04 | G06F30/10 | G06F30/20,general,2,垂直相互接続構造欠陥解析、電気-熱-機械境界条件。物理シミュレーションによる欠陥解析目的
CN-121457055-A,CN,A,98587319,CN-202511290117-A,20260203,20250910,Wire current-carrying capacity-sag coupling modeling method and system based on electric-thermal-force coupling,"The invention discloses a wire current-carrying capacity-sag coupling modeling method and system based on electric-thermal-force coupling, which belong to the technical field of transmission wires, and are characterized in that a heat balance equation is established based on acquired joule heat power, solar heat absorption power, convective heat dissipation power and radiant heat dissipation power, the heat balance equation is solved to obtain the surface temperature of the wire, the surface temperature of the wire is used as a boundary condition, a concentric multilayer radial heat conduction model is constructed, the radial temperature gradient of the wire is obtained, the strain of various materials in the wire is calculated based on the radial temperature gradient of the wire, the real horizontal stress is obtained through self-adaptive iteration, and the real horizontal stress and the acquired geometrical parameters of the wire are substituted into a parabolic model to obtain the maximum sag of the wire under the current working condition. The invention improves the temperature evaluation precision of the lead, avoids systematic deviation caused by isothermal or neglected irradiation/wind-induced heat exchange of the conductor, and provides a reliable thermal boundary for dynamic current-carrying capacity evaluation.",,,G06F2119/14 | G06F2119/08 | G06F2111/04 | G06F30/17 | G06F30/20 | Y02E60/00,G06F119/14 | G06F119/08 | G06F111/04 | G06F30/17 | G06F30/20,general,1,導線電流容量-弛み結合モデリング、境界条件。物理計算手法
CN-121454249-A,CN,A,98578770,CN-202511609866-A,20260203,20251105,Adjustable cable partial discharge fault simulation experiment system based on real defects,"The invention discloses an adjustable cable partial discharge fault simulation experiment system based on real defects, which comprises a data acquisition and preprocessing module, a frequency spectrum construction and index extraction module, a defect tensor initialization module, a partial discharge simulation generation module, a tensor evolution path extraction module and a structural distribution matching evaluation module, wherein the data acquisition and preprocessing module is used for acquiring original multi-mode signal data and preprocessing, the frequency spectrum construction and index extraction module is used for executing frequency spectrum decomposition operation and calculating defect response indexes, the defect tensor initialization module is used for generating a to-be-simulated defect tensor according to a target simulation reference tensor, the partial discharge simulation generation module is used for carrying out simulation processing according to partial discharge simulation points, the tensor evolution path extraction module is used for constructing a simulation defect tensor evolution graph through Soft-DTW distance and carrying out path search to obtain a final simulation defect tensor, and the structural distribution matching evaluation module is used for carrying out Sliced-Wassestein distance calculation. The invention combines tensor modeling and feedback optimization mechanisms to construct an adjustable partial discharge fault simulation system.",,,G01R31/083 | G01R31/088 | G01R31/1272 | G06F18/22 | G06F30/20 | Y02E60/00,G06F30/20 | G06F18/22 | G01R31/08 | G01R31/12,general,3,実欠陥ベースの調整可能ケーブル部分放電fault simulation実験システム。テンソルモデリングによる故障シミュレーション(エネルギー分野)
CN-121457206-A,CN,A,98580788,CN-202511622197-A,20260203,20251107,Phase field modeling method for SAC305 lead-free solder viscoplastic corrosion fracture,"The application relates to the field of modeling methods, and particularly discloses a phase field modeling method for the viscoplastic corrosion fracture of SAC305 lead-free solder, which comprises the steps of determining parameters of a viscoplastic constitutive model of SAC305 material based on stress-strain data of a uniaxial tension experiment, carrying out a corrosion experiment on the SAC305 material to determine the corrosion morphology evolution rule of the SAC305 material, establishing a corrosion-fracture phase field model, and calibrating the parameters of the phase field model. According to the scheme, parameters of the constitutive model of the SAC305 are calibrated according to a uniaxial tension experiment, corrosion boundary conditions of the model are confirmed according to corrosion experiment results, a corrosion-fracture phase field model is constructed, corrosion-induced strength attenuation, crack initiation and propagation paths can be simulated accurately, and the method can be used for reliability assessment, design optimization and service life prediction of the SAC305 welding spots in electronic packaging and provides basis for engineering application of key interconnection components in a corrosion environment.",,,G06F2119/14 | G06F2111/10 | G06F30/27 | G06F30/23,G06F119/14 | G06F111/10 | G06F30/27 | G06F30/23,general,2,SAC305はんだ粘塑性腐食破壊のフェーズフィールドモデリング、腐食境界条件。信頼性評価目的の破壊シミュレーション
CN-121457320-A,CN,A,98575023,CN-202511654895-A,20260203,20251112,Method and system for online estimation of microscopic state of lithium ion battery,"The invention belongs to the technical field of lithium ion batteries, and provides a method and a system for estimating microscopic states of a lithium ion battery on line, wherein a P2D electrochemical model is built, electrochemical data under different working conditions are generated, a deep neural network model is built and verified by using the generated electrochemical data, a partial differential equation in the P2D model is solved, boundary values of the partial differential equation are combined into state variables in a neural network node mode to forcedly meet boundary conditions of the electrochemical model, and in the training process, the electrochemical PDE control equation is used as a loss function of the deep neural network model to endow the deep neural network model with physical constraint, so that information physical fusion is realized, and the microscopic states in the battery are obtained. The invention utilizes physical constraint to avoid dependence on internal state data which is difficult to acquire.",,,G06F2119/08 | G06F2111/04 | G06N3/08 | G06N3/0455 | G06N3/0464 | G16C20/10 | G06F17/13 | G06F30/27 | G01R31/385 | G01R31/382 | G01R31/367 | G01R31/378 | G01R31/36 | Y02E60/10,G16C20/10 | G06N3/08 | G06N3/0464 | G06N3/0455 | G06F119/08 | G06F111/04 | G06F17/13 | G01R31/385 | G01R31/382 | G01R31/378 | G01R31/367 | G01R31/36 | G06F30/27,general,3,リチウム電池微視状態オンライン推定P2Dモデル。異なる作動条件下で電気化学データを生成しDNNを訓練(電池分野)
CN-116721712-B,CN,B,87864365,CN-202310733917-A,20260203,20230620,Iterative calculation method for concrete temperature field under surface running water state of heat preservation material,"The invention provides an iterative calculation method for a concrete temperature field under a surface running water state of a heat preservation material. Deducing the temperature of the inner side of the heat insulation material according to the heat flow of the concrete and the temperature of the outer side of the heat insulation material, and calculating a concrete temperature field by taking the temperature of the inner side of the heat insulation material as a first type of boundary condition. The invention can more accurately calculate the concrete temperature field under the surface running water state of the heat preservation material, and provides scientific basis for formulating and adjusting the temperature control anti-cracking measure of the mass concrete.",,,G06F2119/08 | G06F2113/26 | G06F30/20 | G16C60/00 | G16C20/30,G16C60/00 | G06F119/08 | G06F113/26 | G06F30/20 | G16C20/30,general,1,コンクリート温度場計算、境界条件。物理計算手法
CN-121456955-A,CN,A,98574365,CN-202511537393-A,20260203,20251027,Method for analyzing stability of reservoir bank dangerous rock based on directional progressive degradation,"The invention discloses a method for analyzing stability of reservoir bank dangerous rock based on directional progressive degradation, and relates to the technical field of geological disaster prevention and control. The method comprises the steps of determining physical and mechanical properties and boundary conditions of the reservoir bank dangerous rock, constructing a geologic model of the reservoir bank dangerous rock, establishing the reservoir bank dangerous rock model by utilizing FLAC3D software based on the determined physical and mechanical properties, dividing grids, endowing mechanical parameters to rock mass units in the model according to a directional progressive degradation principle, carrying out stability analysis by utilizing FLAC3D based on the established reservoir bank dangerous rock model and the endowed mechanical parameters, obtaining stress distribution, strain distribution and displacement, verifying analysis results and outputting treatment suggestions. According to the invention, through finely acquiring basic geological information and physical mechanical parameters and combining the degradation level division of directional layering, the accurate simulation of the dangerous rock degradation process is realized, and the defect that the degradation directionality and the degradation level cannot be reflected by the homogenization parameter assignment in the existing method is overcome.",,,G06F2119/14 | G06F30/20 | G06F30/13,G06F119/14 | G06F30/20 | G06F30/13,general,2,貯水池岸危岩安定性の方向性漸進劣化解析、境界条件。地質ハザードシミュレーション
CN-121457144-A,CN,A,98572876,CN-202511699730-A,20260203,20251119,Dynamic analysis modeling method for magnetic field modulation type governor bearing-birotor system,"The invention relates to a dynamic analysis modeling method for a bearing-double-rotor system of a magnetic field modulation type governor, which belongs to the technical field of dynamic analysis and comprises the following steps of S1, analyzing electromagnetic characteristics of a modulated magnetic field, S2, establishing a dynamic numerical analysis model of each fault in the bearing-double-rotor system, and S3, establishing a coupling fault model of the bearing-double-rotor system. The invention effectively solves the key problems of the existing bearing-rotor system dynamics modeling technology in the aspects of application range, feature characterization, solving precision, boundary conditions and the like.",,,G06F2111/04 | G06F2111/10 | G06F2119/14 | G06F17/13 | G06F17/11 | G06F30/17 | G06F30/20,G06F119/14 | G06F111/10 | G06F111/04 | G06F30/17 | G06F17/13 | G06F17/11 | G06F30/20,general,3,磁場変調型ガバナ軸受-二重ロータ系の動的解析モデリング。各故障+結合故障モデルを構築(機械分野)
CN-121464440-A,CN,A,93939734,CN-202480041658-A,20260203,20230629,Apparatus and method for accelerating physics-based simulation using artificial intelligence,"The invention provides a method and apparatus for performing a physical-based simulation. The processing device includes a memory and a processor. The processor is configured to perform a physics-based simulation by performing a portion of the physics-based simulation, training a neural network model based on results from performing a first portion of the physics-based simulation, performing an inference process based on results of training of the neural network model, and providing a prediction back to the physics-based simulation as input based on the inference process.",,,G06F30/27 | G06F30/27,G06N3/08 | G06F9/38 | G06F30/27,general,3,AIを用いた物理ベースシミュレーションの高速化装置。部分シミュレーション結果でNNを訓練し予測を返す物理+ML手法
CN-121456829-A,CN,A,98585183,CN-202610003021-A,20260203,20260105,Wind field correction method based on multi-stage hybrid physical-data driving,"The invention discloses a wind field correction method based on multi-stage hybrid physical-data driving, and relates to the technical field of wind field data processing and climate mode application. The method comprises the steps of performing dynamic downscaling simulation by using a regional climate simulation tool to obtain a multi-dimensional candidate variable field, screening target candidate climate variables according to ERA5 wind speed data to form a multi-dimensional key variable field, constructing a model to be trained comprising a multi-dimensional space feature extraction module, a time dynamic feature extraction module, multi-dimensional space-time feature fusion and an output module, training by using the multi-dimensional key variable field to obtain a hierarchical multi-dimensional space-time fusion network for correcting wind field data, and generating a high-resolution wind field correction field by using a complex topography micro-scale flow field fine-correction solver by using the wind field correction field as a boundary condition. The wind speed prediction method not only improves the accuracy of wind speed prediction, but also ensures the physical reality and consistency of the high-resolution wind field under the influence of complex terrain through physical constraint.",,,G06F30/27 | G06N3/0464 | G06N3/0442 | G06F18/214 | G06F18/213 | G06F18/253 | Y02A90/10,G06N3/0464 | G06N3/0442 | G06F30/27 | G06F18/214 | G06F18/213 | G06F18/25,general,1,物理-データ駆動風況補正手法(重複、A版)
CN-121457322-A,CN,A,98577006,CN-202511665879-A,20260203,20251114,Dynamic hazard source identification and safety path generation method for fire scene,"The invention discloses a dynamic hazard source identification and safety path generation method for a fire scene in the technical field of data processing for prediction purposes, and relates to the technical field of data processing for prediction purposes.A multi-source heterogeneous data is acquired in real time through a multi-dimensional sensor network to form a multi-mode state snapshot; and the dynamics control equation is obtained by carrying out forward solution by using an embedded physical information neural network and taking real-time data as boundary conditions, outputting a core dynamics vector comprising the fire spreading speed and the toxic gas generation rate, driving a fire digital twin model coupled with the building information model, compressing a minute-level evolution process to a second-level by utilizing parallel calculation to complete prediction, and generating a high-precision three-dimensional risk map capable of accurately simulating a nonlinear jump-type diffusion mode under the influence of an obstacle, thereby improving the prediction speed and accuracy.",,,G06F2111/10 | G06F2119/14 | G06F18/241 | G06F18/29 | G06N5/041 | G06Q10/047 | G06F30/27,G06Q10/047 | G06N5/04 | G06F119/14 | G06F111/10 | G06F18/241 | G06F18/20 | G06F30/27,general,4,火災シーンの動的ハザード源特定+安全経路生成。物理情報NN+火災デジタルツインで障害物影響下の非線形拡散を含む高精度3Dリスクマップを生成。ハザードシナリオシミュレーションに合致
CN-121462431-A,CN,A,98573965,CN-202610014083-A,20260203,20260107,Index system dynamic construction method and device based on CNN-Kriging model,"The application relates to a dynamic construction method and a device of an index system based on a CNN-Kriging model, wherein the method is applied to a central node of a distributed intelligent spectrum access system comprising the central node and a plurality of distributed edge nodes; the method comprises the steps of preprocessing data samples reported by distributed edge nodes, dividing preprocessing results into a training set and a testing set, training a CNN-Kriging model, generating a synthetic data set according to the trained CNN-Kriging model, carrying out statistical analysis and index optimization according to the synthetic data set by adopting a global sensitivity analysis method, updating the data samples according to an optimized index system, and updating the index system to obtain an optimized index system oriented to spectrum access decisions. The method solves the problems of low frequency spectrum efficiency, poor reliability and incapability of adapting to dynamic environments caused by static and unexplained interference management strategies under dense deployment of mass Internet of things equipment.",,,G06F30/20 | G06N3/0464 | H04L43/024 | H04L41/16 | H04L41/142 | H04L41/145,H04L43/024 | H04L41/16 | H04L41/142 | G06N3/0464 | G06F30/20 | H04L41/14,general,2,CNN-Kriging合成データセットでスペクトルアクセス指標系を最適化。統計解析目的で通信分野
CN-121459669-A,CN,A,92424334,CN-202411086721-A,20260203,20240801,Electroacoustic device simulation system with digital twin acoustic robot,"The invention discloses a digital twin-assisted electroacoustic device simulation system, which comprises a computing device and a simulation program, wherein when the simulation program is run by the computing device, the computing device is enabled to execute the operations comprising the following steps of receiving various data of a physical system to establish an acoustic computer-assisted engineering model, importing the running data of the physical system into the acoustic computer-assisted engineering model and generating a digital twin virtual three-dimensional model, running physical simulation through the digital twin virtual three-dimensional model, and modifying or replacing simulation conditions of the digital twin virtual three-dimensional model to obtain simulation results under different conditions.",,,G06F2111/04 | G06F30/27 | G05B17/02 | G09B23/14 | G06F30/27 | G06F30/20 | G06F30/17 | G06F30/27,G06F111/04 | G06F30/27 | G05B17/02 | G09B23/14,general,2,音響デバイスデジタルツインシミュレーション(重複)
CN-121457074-A,CN,A,98582106,CN-202511438986-A,20260203,20251009,"Intensity simulation method, device and equipment for transverse double continuous fiber leaf springs","The application relates to a strength simulation method, a device and equipment for transverse double continuous fiber leaf springs, which comprises the steps of cutting the transverse double continuous fiber leaf springs, establishing a local coordinate system of each fiber leaf spring section, dividing grids corresponding to fiber leaf springs based on a layering base surface of each fiber leaf spring, establishing grids within the length range of each fiber layering into a Set unit Set, stacking the fiber layering according to the material attribute and the layering attribute of each fiber layering to obtain a composite material layering plate, stacking the composite material layering according to the stacking direction of the composite material layering to obtain a simulation model of each fiber leaf spring, establishing a simulation model of a suspension system according to the simulation model, a second connection relation and a first connection relation of each fiber leaf spring, and performing strength test on the simulation model of the suspension system to obtain a strength simulation result. Therefore, the problems of non-convergence of calculation, easy distortion of boundary conditions and inaccurate modeling of a layering in simulation are solved.",,,G06F2119/02 | G06F30/17 | G06F30/20 | Y02T90/00,G06F119/02 | G06F30/17 | G06F30/20,general,1,板ばね強度シミュレーション、境界条件。構造設計シミュレーション
